no,lat,lon,depth,mw,dt,east_km,north_km,log_eta,triggered
8458,-8.25,116.19,10,4.5366,2018-08-05 14:53:01,410.79101198367243,9087.97360509298,-4.000621393558237,True
8460,-8.17,116.01,10,4.64596,2018-08-05 15:11:29,390.94323312501103,9096.774403802827,-3.5941632779561736,True
8461,-8.3,116.49,10,4.20852,2018-08-05 15:16:39,443.8395499253926,9082.500359195798,-4.951356949297447,True
8463,-8.22,116.17,10,4.20852,2018-08-05 15:20:43,408.58129115761653,9091.286001585819,-3.8890245663756566,True
8464,-8.7,116.42,10,4.09916,2018-08-05 15:21:43,436.1971868425813,9038.265871281897,-3.859359332253543,True
8465,-8.26,116.47,10,4.59128,2018-08-05 15:26:52,441.631228592566,9086.919778944233,-4.620734108143892,True
8468,-8.21,116.23,10,4.20852,2018-08-05 15:34:02,415.1881484363941,9092.404819483336,-3.9250397221418183,True
8470,-8.23,116.5,10,4.15384,2018-08-05 15:45:04,444.9310538722238,9090.2407537546,-4.41460685409848,True
8471,-8.24,116.03,10,4.09916,2018-08-05 15:46:55,393.1653076461135,9089.040003006845,-3.5856965904063234,True
8472,-8.37,116.4,10,4.04448,2018-08-05 15:49:04,433.9403075989696,9074.747354661555,-4.810559166189245,True
8476,-8.1,116.25,10,4.15384,2018-08-05 16:29:56,417.3685931269422,9104.570761600015,-3.703686968617387,True
8478,-8.24,116.2,10,4.09916,2018-08-05 16:40:13,411.8902130497012,9089.08145854832,-3.953031133874053,True
8479,-8.32,116.27,10,4.95706,2018-08-05 16:49:41,419.61647129643353,9080.25127492137,-4.023445028067578,True
8481,-8.1,116.27,10,4.04448,2018-08-05 16:57:48,419.5722141649589,9104.574771979003,-3.8917958963535506,True
8484,-8.36,116.57,10,4.2632,2018-08-05 17:09:56,452.65641911665034,9075.877410590912,-4.599360574391154,True
8485,-8.3,116.41,10,4.2632,2018-08-05 17:11:08,435.02978750661896,9082.488150945139,-4.532151343711133,True
8487,-8.17,116.15,25,4.09916,2018-08-05 17:24:45,406.36658530210093,9096.80960108554,-3.5705951687424804,True
8489,-8.05,116.48,10,4.31788,2018-08-05 17:30:40,442.70266526019833,9110.138153331025,-3.6878404457910254,True
8490,-8.26,116.05,10,4.59128,2018-08-05 17:42:35,395.37354348308673,9086.833942150473,-3.8569935836098432,True
8492,-8.23,116.61,10,4.09916,2018-08-05 17:59:41,457.0464281496245,9090.254223708731,-4.014453140372227,True
8495,-8.16,116.08,10,4.04448,2018-08-05 18:28:33,398.6524606245655,9097.898334320433,-3.5549138760027934,True
8496,-8.16,116.51,10,4.31788,2018-08-05 18:36:03,446.02302465315887,9097.981071330965,-3.898099113669201,True
8497,-8.14,116.25,10,4.42724,2018-08-05 18:41:13,417.37677035045766,9100.148307663801,-3.5990913143535272,True
8498,-8.39,116.19,12,4.5,2018-08-05 18:47:18,410.8226789667589,9072.49465245366,-3.674692139680268,True
8500,-8.13,116.2,10,4.20852,2018-08-05 18:57:12,411.8660352771256,9101.24338381129,-3.774739786650566,True
8501,-8.49,116.17,17,4.09916,2018-08-05 19:20:03,408.644133124914,9061.433540094284,-3.548064400859875,True
8502,-8.09,116.27,10,4.15384,2018-08-05 19:43:50,419.57023047630247,9105.680379313706,-3.486061966371135,True
8503,-8.23,116.25,10,4.31788,2018-08-05 19:44:55,417.39531544164413,9090.197755009845,-3.936115748438544,True
8509,-8.28,116.22,10,4.42724,2018-08-05 20:35:13,414.10174087088103,9084.663298098485,-3.612878670596563,True
8510,-8.14,116.22,10,4.31788,2018-08-05 20:37:10,414.07164764629886,9100.14205892235,-3.9797916629958947,True
8511,-8.24,116.26,10,4.79814,2018-08-05 20:41:26,418.4988161885247,9089.094188037478,-4.109557692689939,True
8512,-8.19,116.22,22,4.20852,2018-08-05 20:49:06,414.082336697013,9094.613942144024,-4.327803947493071,True
8514,-8.19,116.22,11,4.42724,2018-08-05 21:17:40,414.082336697013,9094.613942144024,-4.969500071096229,True
8519,-7.99,116.02,46,4.20852,2018-08-05 22:24:44,391.99706948950603,9116.679266544466,-2.9908681484030257,True
8520,-8.24,116.06,11,4.31788,2018-08-05 22:28:09,396.46976416811964,9089.047897573231,-3.2654229012492966,True
8521,-8.29,116.02,19,4.2632,2018-08-05 22:44:03,392.0774103403704,9083.508886599351,-3.785411069071112,True
8524,-8.18,116.12,24,4.2,2018-08-05 23:46:40,403.06404469248014,9095.69685899407,-3.205578590234878,True
8525,-8.04,116.28,11,4.15384,2018-08-06 00:00:48,420.6623180963145,9111.210358396153,-3.230510536414582,True
8526,-8.36,116.27,20,5.11598,2018-08-06 00:28:20,419.6246446253586,9075.828792722248,-3.6420088538564035,True
8528,-8.29,116.25,12,4.31788,2018-08-06 00:34:59,417.4077913868051,9083.564028983637,-4.6377100003859955,True
8529,-8.19,116.27,12,4.09916,2018-08-06 00:52:54,419.590176935923,9094.624281955965,-3.480337698443356,True
8534,-8.22,116.3,10,4.5366,2018-08-06 01:53:45,422.90063591333814,9091.313338341983,-3.5174116097476738,True
8536,-8.04,116.27,10,4.09916,2018-08-06 02:21:29,419.56034856164837,9111.208408031589,-3.6701830884990954,True
