no,lat,lon,depth,mw,dt,east_km,north_km,t_days,g
8558,-8.72,116.3,23,3.88044,2018-08-06 07:22:59,423.0001192033556,9036.03229706334,3141.0085300925925,1
8559,-8.21,116.46,10,3.88044,2018-08-06 07:24:13,440.52243728468073,9092.446179542247,3141.009386574074,0
8560,-8.77,116.86,10,3.7,2018-08-06 08:50:34,484.6024306513868,9030.572956365751,3141.069351851852,1
8561,-8.27,116.18,15,3.9898,2018-08-06 09:22:06,409.6941412210822,9085.760079099324,3141.09125,0
8563,-8.12,116.1,10,4.09916,2018-08-06 10:14:53,400.846007744299,9102.325921218782,3141.1279050925928,0
8564,-8.2,116.26,10,3.93512,2018-08-06 10:21:10,418.4906493020366,9093.516653716304,3141.1322685185187,0
8565,-8.57,116.08,10,3.9898,2018-08-06 10:33:05,398.7583645956102,9052.56574680172,3141.1405439814816,1
8566,-8.15,116.03,14,4.37256,2018-08-06 10:38:24,393.1412912685448,9098.991114439394,3141.1442361111112,0
8567,-8.02,116.15,41,3.88044,2018-08-06 11:14:06,406.33193704694577,9113.394174247822,3141.169027777778,0
8568,-8.62,116.01,10,3.77108,2018-08-06 11:30:04,391.06876294921636,9047.01807428611,3141.180115740741,1
8569,-8.73,116.31,14,3.7164,2018-08-06 11:37:43,424.1021888100475,9034.92868723755,3141.1854282407407,1
8571,-8.23,116.22,14,3.9898,2018-08-06 12:59:02,414.09093476303065,9090.191439070608,3141.2418981481483,0
8572,-8.31,116.16,16,3.93512,2018-08-06 13:10:40,407.50075812509016,9081.33290546334,3141.249976851852,0
8573,-8.41,116.65,16,3.77108,2018-08-06 13:16:27,461.46956904365317,9070.3583458188,3141.2539930555554,2
8574,-8.76,116.29,10,3.7164,2018-08-06 13:17:32,421.9083950900568,9031.60769171145,3141.2547453703705,1
8577,-8.26,116.15,12,4.2632,2018-08-06 14:18:14,406.38768045629956,9086.85879973993,3141.296898148148,0
8578,-8.37,116.12,11,3.9898,2018-08-06 14:24:28,403.1104858355034,9074.68938997665,3141.301226851852,0
8579,-8.24,116.2,10,4.20852,2018-08-06 14:52:07,411.8902130497012,9089.08145854832,3141.320428240741,0
8580,-8.23,116.43,12,4.37256,2018-08-06 15:22:10,437.2211709230917,9090.23044812225,3141.341296296296,0
8581,-8.43,116.03,21,4.8776,2018-08-06 15:50:55,393.2168693122148,9068.031958492338,3141.361261574074,0
8582,-8.37,116.44,10,4.04448,2018-08-06 15:57:11,438.34442712213394,9074.753844541472,3141.365613425926,0
8583,-8.21,116.15,10,3.88044,2018-08-06 16:05:07,406.3759325784719,9092.387028069232,3141.371122685185,0
8584,-8.22,116.35,10,3.82576,2018-08-06 16:10:24,428.4079702567848,9091.32261521201,3141.3747916666666,0
8586,-8.13,116.34,20,3.82576,2018-08-06 16:41:12,427.2902083786824,9101.271176852633,3141.3961805555555,0
8587,-8.07,116.41,10,3.93512,2018-08-06 17:00:22,434.9925070282415,9107.916539217447,3141.4094907407407,0
8588,-8.3,116.24,17,4.04448,2018-08-06 17:37:31,416.30861595334005,9082.456311116333,3141.4352893518517,0
8589,-8.28,116.25,12,4.37256,2018-08-06 17:49:28,417.4057058104705,9084.669651343054,3141.4435879629627,0
8590,-8.23,116.36,27,3.9898,2018-08-06 17:51:50,429.51119749743214,9090.218793856371,3141.4452314814816,0
8591,-8.46,116.3,10,3.88044,2018-08-06 18:19:47,422.94766000884385,9064.778612001344,3141.4646412037036,1
8592,-8.32,116.4,10,5.03652,2018-08-06 18:21:19,433.93190570631396,9080.275318390717,3141.4657060185186,0
8593,-8.15,116.34,10,4.48192,2018-08-06 18:32:59,427.29381504819247,9099.05998905497,3141.4738078703704,0
8594,-8.19,116.33,10,4.42724,2018-08-06 18:36:56,426.19950749824545,9094.635785622748,3141.476550925926,0
8595,-8.12,116.33,10,4.37256,2018-08-06 18:43:06,426.1866693861146,9102.374963704788,3141.4808333333335,0
8596,-8.34,116.21,16,3.82576,2018-08-06 18:49:16,413.0136347734426,9078.027322601069,3141.4851157407406,0
8597,-8.22,116.31,10,3.77108,2018-08-06 18:59:48,424.0021071883247,9091.315248702864,3141.4924305555555,0
8598,-8.23,116.3,10,3.77108,2018-08-06 19:03:01,422.902568410955,9090.207731018598,3141.494664351852,0
8599,-8.27,116.28,13,3.88044,2018-08-06 19:07:36,420.70764916648216,9085.78137002159,3141.4978472222224,0
8600,-8.23,116.07,10,3.77108,2018-08-06 19:18:25,397.5686727382471,9090.156142778738,3141.505358796296,0
8601,-8.11,116.27,10,3.9898,2018-08-06 19:20:53,419.57420028872446,9103.469164112437,3141.5070717592594,0
8602,-8.19,116.32,10,4.2632,2018-08-06 19:22:38,425.0979580225689,9094.633936835493,3141.508287037037,0
8603,-8.2,116.33,10,4.42724,2018-08-06 19:27:30,426.2013504524673,9093.530186602951,3141.5116666666668,0
8604,-8.21,116.26,15,3.82576,2018-08-06 19:49:39,418.49268732196344,9092.411038105214,3141.5270486111112,0
8605,-8.59,116.18,11,3.77108,2018-08-06 19:51:13,409.76837896020345,9050.379337927461,3141.528136574074,1
8607,-8.29,116.27,11,3.93512,2018-08-06 19:56:41,419.6103668548411,9083.56813083632,3141.5319328703704,0
8608,-8.32,116.1,11,4.09916,2018-08-06 20:04:38,400.89567448629134,9080.212739231374,3141.5374537037037,0
8609,-8.24,116.3,10,4.04448,2018-08-06 20:13:00,422.90450324286815,9089.102123154322,3141.5432638888888,0
8610,-8.37,116.21,10,4.48192,2018-08-06 20:28:25,413.02028060897385,9074.710414060082,3141.5539699074075,0
8611,-8.11,116.33,20,4.15384,2018-08-06 21:00:17,426.1848443089307,9103.480558430405,3141.576099537037,0
8612,-8.1,116.4,12,3.88044,2018-08-06 21:28:30,433.89553155796636,9104.598196874993,3141.5956944444442,0
8613,-8.17,116.38,10,3.88044,2018-08-06 22:01:56,431.7038183689192,9096.855794069965,3141.6189120370373,0
8614,-7.96,116.46,10,3.93512,2018-08-06 22:35:33,440.485799909976,9120.085367803164,3141.6422569444444,0
8615,-8.21,116.38,10,4.37256,2018-08-06 23:16:03,431.7106358045145,9092.433441031828,3141.6703819444447,0
8616,-8.13,116.19,10,3.93512,2018-08-07 00:03:50,410.76429021887753,9101.241194572856,3141.703564814815,0
8617,-8.29,116.18,10,4.20852,2018-08-07 00:13:26,409.69869907263165,9083.548799203705,3141.7102314814815,0
8618,-8.05,116.33,10,3.82576,2018-08-07 01:15:32,426.17394077984477,9110.114115594899,3141.7533564814817,0
8619,-7.9,116.3,10,4.04448,2018-08-07 01:26:38,422.8400288269345,9126.69249092989,3141.7610648148147,0
8620,-8.16,116.24,10,4.09916,2018-08-07 01:45:03,416.2792236104726,9097.935016902105,3141.7738541666668,0
8621,-8.62,115.93,10,3.7164,2018-08-07 02:21:15,382.2652915014171,9046.994351731826,3141.7989930555555,1
8622,-8.16,116.31,10,4.5366,2018-08-07 03:01:10,423.99072620792174,9097.94886775487,3141.826712962963,0
8623,-8.25,116.25,10,4.09916,2018-08-07 03:18:07,417.3994640863666,9087.986515166636,3141.8384837962963,0
8626,-8.35,116.17,10,3.82576,2018-08-07 03:41:50,408.61129659318016,9076.912643832748,3141.854953703704,0
8627,-8.67,116.19,22,3.93512,2018-08-07 03:47:05,410.8876004587503,9041.536423039712,3141.858599537037,1
8628,-8.52,116.1,12,3.82576,2018-08-07 04:23:49,400.9465415553568,9058.099340746594,3141.8841087962965,1
8629,-8.76,116.09,19,3.88044,2018-08-07 04:29:58,399.9091791787888,9031.56032337567,3141.8883796296295,1
8631,-8.58,116.08,13,3.7164,2018-08-07 04:40:06,398.7610120191701,9051.460062427495,3141.8954166666667,1
8633,-8.84,116.05,23,3.7164,2018-08-07 04:47:57,395.53164369057504,9022.703796633747,3141.9008680555557,1
8634,-8.22,116.33,10,3.93512,2018-08-07 04:50:18,426.2050430640353,9091.318986943752,3141.9025,0
8635,-8.32,116.11,15,3.88044,2018-08-07 04:57:29,401.99691957357817,9080.215228625962,3141.9074884259257,0
8636,-8.51,116.18,13,3.82576,2018-08-07 05:24:37,409.7495571493732,9059.224576235638,3141.9263310185183,1
8637,-8.06,116.37,10,4.20852,2018-08-07 05:41:31,430.5833474614548,9109.015535233397,3141.9380671296294,0
