Platebound,Stepclass,Lon1,Lat1,Lon2,Lat2,Vel_mm_per_yr,Vel_azimuth_deg,Vel_divergent_mm_per_yr,Vel_rightlateral_mm_per_yr,Step_azimuth_deg,Steplength_km
BU/AU,SUB,96.089,1.487,96.202,1.345,53.4,252.0,-50.1,-18.3,141.0,20.2
SU/AU,SUB,96.202,1.345,96.38,1.123,46.4,181.0,-29.9,35.5,141.0,31.6
SU/AU,SUB,96.38,1.123,96.67,0.759,46.7,182.0,-30.3,35.6,141.0,51.8
SU/AU,SUB,96.67,0.759,97.011,0.116,47.1,183.0,-23.8,40.6,152.0,80.9
SU/AU,SUB,97.011,0.116,97.372,-0.547,47.5,183.0,-25.1,40.3,151.0,84.0
SU/AU,SUB,97.372,-0.547,97.77,-1.247,48.0,184.0,-26.7,39.9,150.0,89.5
SU/AU,SUB,97.77,-1.247,98.035,-1.634,48.4,185.0,-30.7,37.4,146.0,52.2
SU/AU,SUB,98.035,-1.634,98.301,-2.021,48.7,185.0,-31.2,37.4,146.0,52.2
SU/AU,SUB,98.301,-2.021,98.874,-2.665,49.2,186.0,-36.3,33.2,138.0,95.8
SU/AU,SUB,98.874,-2.665,99.37,-3.312,49.8,187.0,-34.6,35.8,143.0,90.5
SU/AU,SUB,99.37,-3.312,99.675,-3.729,50.3,187.0,-34.5,36.6,144.0,57.4
SU/AU,SUB,99.675,-3.729,99.98,-4.145,50.7,188.0,-35.0,36.6,144.0,57.4
SU/AU,SUB,99.98,-4.145,100.359,-4.656,51.1,188.0,-35.9,36.4,143.0,70.6
SU/AU,SUB,100.359,-4.656,100.791,-5.305,51.6,189.0,-34.7,38.3,146.0,86.6
SU/AU,SUB,100.791,-5.305,101.346,-5.983,52.2,189.0,-39.1,34.7,141.0,97.2
SU/AU,SUB,101.346,-5.983,101.858,-6.558,52.9,190.0,-41.2,33.1,139.0,85.4
SU/AU,SUB,101.858,-6.558,102.452,-7.197,53.5,190.0,-42.7,32.2,137.0,96.7
SU/AU,SUB,102.452,-7.197,103.183,-7.621,54.3,191.0,-51.1,18.3,120.0,93.4
SU/AU,SUB,103.183,-7.621,103.763,-7.863,55.0,191.0,-53.8,11.5,113.0,69.3
SU/AU,SUB,103.763,-7.863,104.576,-8.167,55.7,191.0,-54.9,9.6,111.0,95.7
EU-YA,CRB,114.0,18.438,113.759,18.863,16.7,288.0,11.6,12.1,332.0,53.7
EU-YA,CRB,113.759,18.863,113.517,19.288,16.6,288.0,11.4,12.1,332.0,53.7
EU-YA,CRB,113.517,19.288,113.274,19.713,16.6,289.0,11.3,12.1,332.0,53.6
EU-YA,CRB,113.274,19.713,113.03,20.137,16.5,289.0,11.2,12.1,332.0,53.6
PS/SU,SUB,120.441,19.937,120.115,19.487,94.0,297.0,-93.2,11.9,214.0,60.6
PS/SU,SUB,120.115,19.487,119.795,18.878,94.7,297.0,-94.7,-0.9,206.0,75.6
PS/SU,SUB,119.795,18.878,119.279,18.201,95.7,297.0,-94.5,15.0,216.0,92.9
PS/SU,SUB,119.279,18.201,119.161,17.629,96.5,297.0,-93.0,-26.0,191.0,64.9
PS/SU,SUB,119.161,17.629,119.248,16.84,97.3,297.0,-82.0,-52.3,174.0,88.2
PS/SU,SUB,119.248,16.84,119.255,16.556,97.8,296.0,-86.6,-45.4,179.0,31.6
PS-SU,CTF,119.255,16.556,119.728,16.407,97.9,296.0,13.7,-96.9,108.0,53.1
PS-SU,CTF,119.728,16.407,120.201,16.257,97.8,296.0,13.2,-96.9,108.0,53.1
PS-SU,CTF,120.201,16.257,120.673,16.107,97.8,296.0,12.6,-96.9,108.0,53.1
PS-SU,CTF,120.673,16.107,121.145,15.955,97.7,296.0,12.1,-96.9,109.0,53.2
PS-SU,CTF,121.145,15.955,121.616,15.802,97.6,295.0,11.5,-96.9,109.0,53.2
PS-SU,CTF,121.616,15.802,122.086,15.648,97.6,295.0,10.9,-96.9,109.0,53.1
PS-SU,OTF,122.086,15.648,122.555,15.493,97.5,295.0,10.3,-96.9,109.0,53.1
PS-SU,OTF,122.555,15.493,123.024,15.337,97.4,295.0,9.8,-96.9,109.0,53.2
PS-SU,OTF,123.024,15.337,123.492,15.18,97.4,295.0,9.2,-96.9,109.0,53.1
PS-SU,OTF,123.492,15.18,123.959,15.023,97.3,294.0,8.6,-96.9,109.0,53.1
PS-SU,OTF,123.959,15.023,124.425,14.864,97.3,294.0,8.1,-96.9,109.0,53.1
