Source_ID,Region,Main,Segment,Type,Dip_raw,Length_km,Width_km,Mmax,Sliprate,Status,N_vertex,Coords_lonlat
JAV13,Java,Tampomas,Tampomas,N,60,8.0,30.0,5.6,0.5,Data Updated,5,"107.91763,-6.75399 107.92622,-6.73787 107.93340,-6.72124 107.93859,-6.70388 107.94237,-6.68601"
JAV14,Java,Karangmanggu Fault,Karangmanggu,SS,90,20.0,20.0,6.1,0.5,Data Updated,5,"107.94503,-6.58092 107.98839,-6.56787 108.03124,-6.55340 108.07336,-6.53694 108.11496,-6.51907"
JAV15,Java,Ciremai Fault,Ciremai,SS,90,20.0,30.0,6.6,0.5,No Update,5,"108.38176,-6.91195 108.40320,-6.87206 108.42328,-6.83153 108.44143,-6.79010 108.45823,-6.74805"
JAV16,Java,Java Back-arc Thrust,Depok Blind Thrust,R,57SW,43.0,20.0,6.9,0.1,New,5,"106.55563,-6.46996 106.65282,-6.46999 106.75000,-6.47000 106.84718,-6.46999 106.94437,-6.46996"
JAV17,Java,Java Back-arc Thrust,Rarata,R,57SW,15.0,20.0,6.7,0.1,New,5,"106.89285,-6.55943 106.92642,-6.55472 106.96000,-6.55000 106.99358,-6.54528 107.02715,-6.54056"
JAV18,Java,Java Back-arc Thrust,Salak,R,57SW,20.0,20.0,65.0,0.1,New,5,"106.72991,-6.64787 106.77495,-6.64394 106.82000,-6.64000 106.86504,-6.63606 106.91009,-6.63211"
JAV19,Java,Java Back-arc Thrust,Citarum Front,R,43SW,76.0,20.0,6.9,0.1,New,5,"107.00662,-6.54789 107.17831,-6.55397 107.35000,-6.56000 107.52169,-6.56597 107.69339,-6.57187"
JAV20,Java,Java Back-arc Thrust,Citarum,R,50S,41.0,20.0,6.7,0.1,New,5,"107.26470,-6.70643 107.35735,-6.70323 107.45000,-6.70000 107.54265,-6.69676 107.63530,-6.69350"
JAV21,Java,Java Back-arc Thrust,Cariu,R,57SW,18.0,20.0,6.5,0.1,New,5,"107.01882,-6.54567 107.05941,-6.54284 107.10000,-6.54000 107.14059,-6.53716 107.18118,-6.53432"
JAV22,Java,Java Back-arc Thrust,Klapanunggal,R,57SW,13.0,20.0,6.7,0.1,New,5,"106.89127,-6.50205 106.92063,-6.50102 106.95000,-6.50000 106.97936,-6.49897 107.00873,-6.49795"
JAV23,Java,Java Back-arc Thrust,Cirata,R,57SW,63.0,20.0,6.8,0.1,New,5,"107.06666,-6.68969 107.20834,-6.67487 107.35000,-6.66000 107.49165,-6.64509 107.63330,-6.63015"
JAV24,Java,Java Back-arc Thrust,Tangkuban Prahu,R,45S,48.0,20.0,6.6,1,New,5,"107.38297,-6.61995 107.49148,-6.61999 107.60000,-6.62000 107.70852,-6.61999 107.81703,-6.61995"
JAV25,Java,Java Back-arc Thrust,Cipunegara,R,45SW,16.0,20.0,6.4,1,Data Updated,5,"107.72793,-6.59369 107.76397,-6.59685 107.80000,-6.60000 107.83603,-6.60315 107.87207,-6.60630"
JAV26,Java,Java Back-arc Thrust,Tampomas,R,31SW,24.0,20.0,6.7,2,New,5,"107.94314,-6.58115 107.99657,-6.59058 108.05000,-6.60000 108.10343,-6.60942 108.15687,-6.61883"
JAV27,Java,Java Back-arc Thrust,Baribis,R,45SW,17.0,20.0,6.4,2,New,5,"108.16387,-6.70930 108.20193,-6.71465 108.24000,-6.72000 108.27807,-6.72535 108.31613,-6.73069"
JAV28,Java,Java Back-arc Thrust,Ciremai,R,45SW,43.0,20.0,6.7,2,Data Updated,5,"108.23848,-6.74620 108.33424,-6.76311 108.43000,-6.78000 108.52577,-6.79687 108.62155,-6.81372"
